Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
54479,7,First Baptist Church CDC/Belton,506 N MAIN ST,,BELTON,76513,BELL,Licensed Center - Child Care Program,320,4/16/87,Full,Y,,,,,,,,,,
54485,7,Covenant Presbyterian Day School,220 ROCK PRAIRIE RD,,COLLEGE STATION,77845,BRAZOS,Licensed Center - Child Care Program,70,8/23/01,Full,Y,,,,,,,,,,
54497,7,St Thomas Early Learning Center,906 GEORGE BUSH DR,,COLLEGE STATION,77840,BRAZOS,Licensed Center - Child Care Program,126,6/21/93,Full,Y,,,,,,,,,,
55127,6,WEST END CHILD DEVELOPMENT CENTER,170 HEIGHTS BLVD,,HOUSTON,77007,HARRIS,Licensed Center - Child Care Program,75,6/16/87,Full,N,,,,,,,,,,
55128,6,Memorial DR Christian Children,11750 MEMORIAL DR,,HOUSTON,77024,HARRIS,Licensed Center - Child Care Program,85,6/16/86,Full,Y,,,,,,,,,,
55192,3,First Presbyterian Church Kindergarten,834 GRIFFITH AVE,,TERRELL,75160,KAUFMAN,Licensed Center - Child Care Program,50,4/12/87,Full,Y,,,,,,,,,,
55201,3,ST Paul Christian Learning Center,703 N ELM ST,,DENTON,76201,DENTON,Licensed Center - Child Care Program,66,6/12/87,Full,Y,,,,,,,,,,
55254,3,First Presbyterian Preschool,1200 S COLLINS ST,,ARLINGTON,76010,TARRANT,Licensed Center - Child Care Program,100,2/26/89,Full,Y,,,,,,,,,,
55443,7,Faith  Preschool,2701 S LAMAR BLVD,,AUSTIN,78704,TRAVIS,Licensed Center - Child Care Program,75,2/19/86,Full,Y,,,,,,,,,,
55484,8,Happy Days DCC,602 W NOPAL ST,,CARRIZO SPRINGS,78834,DIMMIT,Licensed Center - Child Care Program,79,1/31/97,Full,Y,,,,,,,,,,
55530,3,Saint Christopher's School,3550 SW LOOP 820,,FORT WORTH,76133,TARRANT,Licensed Center - Child Care Program,51,4/22/87,Full,Y,,,,,,,,,,
55794,6,Deer Park Methodist Weekday SC,1300 E 13TH ST,,DEER PARK,77536,HARRIS,Licensed Center - Child Care Program,80,4/20/94,Full,Y,,,,,,,,,,
55825,6,House At Pooh Corner  INC,2808 FERNDALE ST,,HOUSTON,77098,HARRIS,Licensed Center - Child Care Program,152,2/24/86,Full,Y,,,,,,,,,,
55857,4,First United Methodist Preschool,204 N MARSHALL ST,,HENDERSON,75652,RUSK,Licensed Center - Child Care Program,120,2/1/91,Full,Y,,,,,,,,,,
55897,3,Denton Christian Pre School INC,1114 W UNIVERSITY DR,,DENTON,76201,DENTON,Licensed Center - Child Care Program,50,9/11/98,Full,Y,,,,,,,,,,
55902,3,Mildred Haupt Preschool,4200 CAMP BOWIE BLVD,,FORT WORTH,76107,TARRANT,Licensed Center - Child Care Program,120,6/3/86,Full,Y,,,,,,,,,,
56078,6,Holy Spirit  Early Childhood and Primary School,12535 PERTHSHIRE RD,,HOUSTON,77024,HARRIS,Licensed Center - Child Care Program,371,8/26/96,Full,Y,,,,,,,,,,
56181,5,Wee Wisdom Pre-School,508 W BLUFF ST,,WOODVILLE,75979,TYLER,Licensed Center - Child Care Program,83,5/1/95,Full,Y,,,,,,,,,,
56221,3,First Baptist Church Day Care,317 W ELLISON ST,,BURLESON,76028,JOHNSON,Licensed Center - Child Care Program,280,3/19/87,Full,Y,,,,,,,,,,
56464,5,St. Andrews Day School,1350 N 23RD ST,,BEAUMONT,77706,JEFFERSON,Licensed Center - Child Care Program,80,3/8/89,Full,Y,,,,,,,,,,
56901,3,First Methodist School,403 S MAIN ST,,DUNCANVILLE,75116,DALLAS,Licensed Center - Child Care Program,140,9/18/86,Full,Y,,,,,,,,,,
56920,3,Kinderbridge,334 W GREEN ST,,STEPHENVILLE,76401,ERATH,Licensed Center - Child Care Program,65,3/4/87,Full,Y,,,,,,,,,,
57225,5,Methodist Temple Day School,4101 HIGHWAY 73,,PORT ARTHUR,77642,JEFFERSON,Licensed Center - Child Care Program,68,12/11/89,Full,Y,,,,,,,,,,
57622,2,School For Little People,909 10TH ST,,WICHITA FALLS,76301,WICHITA,Licensed Center - Child Care Program,130,4/13/87,Full,Y,,,,,,,,,,
57737,11,Lynn Flowers Presbyterian Preschool,104 S 12TH ST,,MCALLEN,78501,HIDALGO,Licensed Center - Child Care Program,95,1/23/86,Full,Y,,,,,,,,,,
57750,8,Presbyterian Day School,2408 N NAVARRO ST,,VICTORIA,77901,VICTORIA,Licensed Center - Child Care Program,92,3/27/87,Full,Y,,,,,,,,,,
57856,6,Pilgrim Day Care Center,3115 BLODGETT ST,,HOUSTON,77004,HARRIS,Licensed Center - Child Care Program,140,7/30/86,Full,Y,,,,,,,,,,
57922,9,Ozona Community Center,1604 PRIMARY ST,,OZONA,76943,CROCKETT,Licensed Center - Child Care Program,60,4/1/89,Full,Y,,,,,,,,,,
58041,6,St Andrews Presbyterian Childrens Place,5308 BUFFALO SPEEDWAY,,HOUSTON,77005,HARRIS,Licensed Center - Child Care Program,138,4/17/87,Full,Y,,,,,,,,,,
58481-684,6,La Petite Spencer,8414 SPENCER HWY,,LA PORTE,77571,HARRIS,Licensed Center - Child Care Program,136,9/10/85,Full,Y,,,,,,,,,,
58599,2,First Baptist WEE School,1200 9TH ST,,WICHITA FALLS,76301,WICHITA,Licensed Center - Child Care Program,115,10/7/85,Full,Y,,,,,,,,,,
58655,3,First United Methodist Day School,521 W PIPELINE RD,,HURST,76053,TARRANT,Licensed Center - Child Care Program,120,7/11/87,Full,Y,,,,,,,,,,
58659,3,Grace Lutheran Early Education,210 W PARK ROW DR,,ARLINGTON,76010,TARRANT,Licensed Center - Child Care Program,138,10/18/85,Full,Y,,,,,,,,,,
58813,11,Wesley Preparatory School,1406 E AUSTIN AVE,,HARLINGEN,78550,CAMERON,Licensed Center - Child Care Program,120,12/6/90,Full,Y,,,,,,,,,,
58961,6,Northwood Montessori School,14901 WELCOME LN,,HOUSTON,77014,HARRIS,Licensed Center - Child Care Program,91,5/13/87,Full,Y,,,,,,,,,,
59129,1,First United Methodist Child Development,1001 W 7TH ST,,PLAINVIEW,79072,HALE,Licensed Center - Child Care Program,61,10/31/85,Full,Y,,,,,,,,,,
59202,3,Little Ark Nursery and Pre Kindergarten,1709 HIGHWAY 50,,COMMERCE,75428,HUNT,Licensed Center - Child Care Program,66,9/12/86,Full,Y,,,,,,,,,,
59246,3,His Kids Christian Learning Center,222 W CHURCH ST,,WEATHERFORD,76086,PARKER,Licensed Center - Child Care Program,153,2/17/87,Full,Y,,,,,,,,,,
59262,3,Fielder Road Baptist Early Childhood,2011 S FIELDER RD,,ARLINGTON,76013,TARRANT,Licensed Center - Child Care Program,254,10/18/85,Full,Y,,,,,,,,,,
59506,5,All Faiths Day School,670 N 5TH ST,,SILSBEE,77656,HARDIN,Licensed Center - Child Care Program,112,5/15/92,Full,Y,,,,,,,,,,
59729,3,Preston Hollow Presbyterian Preschool,9800 PRESTON RD,,DALLAS,75230,DALLAS,Licensed Center - Child Care Program,174,10/18/85,Full,Y,,,,,,,,,,
59782,7,Central Texas Childrens Center,2000 MARLANDWOOD RD,,TEMPLE,76502,BELL,Licensed Center - Child Care Program,105,2/27/87,Full,Y,,,,,,,,,,
59795,7,Texas State Child Development Center,102 LUEDERS,,SAN MARCOS,78666,HAYS,Licensed Center - Child Care Program,130,10/24/88,Full,Y,,,,,,,,,,
59804,7,Love and Learning Center of Milam County,1699 HILLCREST DR,,ROCKDALE,76567,MILAM,Licensed Center - Child Care Program,62,2/8/99,Full,Y,,,,,,,,,,
59937,5,Presbyterian Day School,412 9TH ST,,ORANGE,77630,ORANGE,Licensed Center - Child Care Program,65,3/8/90,Full,Y,,,,,,,,,,
60201,3,Jewish Community Center of Dallas,7900 NORTHAVEN RD,,DALLAS,75230,DALLAS,Licensed Center - Child Care Program,250,11/6/85,Full,Y,,,,,,,,,,
60225,3,St Pauls Episcopal Day Care Center,8320 JACK FINNEY BLVD,,GREENVILLE,75402,HUNT,Licensed Center - Child Care Program,120,2/3/87,Full,Y,,,,,,,,,,
60242,3,First United Methodist Preschool,407 NE BARNARD ST,,GLEN ROSE,76043,SOMERVELL,Licensed Center - Child Care Program,39,12/31/97,Full,Y,,,,,,,,,,
60428,6,Toddler House 5,150 E WEST RD,,HOUSTON,77060,HARRIS,Licensed Center - Child Care Program,75,5/28/87,Full,Y,,,,,,,,,,
60448,1,First Baptist Kindergarten,500 MAIN ST,,HEREFORD,79045,DEAFSMITH,Licensed Center - Child Care Program,85,3/8/91,Full,Y,,,,,,,,,,
60503,1,Amarillo Montessori Academy,3806 BOWIE ST,,AMARILLO,79110,RANDALL,Licensed Center - Child Care Program,255,10/24/85,Full,Y,,,,,,,,,,
60517,2,Children Come 1st,3701 TAFT BLVD,,WICHITA FALLS,76308,WICHITA,Licensed Center - Child Care Program,90,12/2/85,Full,Y,,,,,,,,,,
60660,6,University Houston CCC,3859 WHEELER ST,,HOUSTON,77004,HARRIS,Licensed Center - Child Care Program,304,5/26/89,Full,Y,,,,,,,,,,
60676,6,Holy Comforter Day School,227 S CHENANGO ST,,ANGLETON,77515,BRAZORIA,Licensed Center - Child Care Program,124,12/19/85,Full,Y,,,,,,,,,,
60681,6,Methodist Day School,3900 LEXINGTON BLVD,,MISSOURI CITY,77459,FORT BEND,Licensed Center - Child Care Program,250,1/14/86,Full,Y,,,,,,,,,,
60734,8,St. Thomas Episcopal School,1416 N LOOP 1604 E,,SAN ANTONIO,78232,BEXAR,Licensed Center - Child Care Program,17,11/12/85,Full,Y,,,,,,,,,,
60808,2,Wylie Baptist Church CDC,6097 BUFFALO GAP RD,,ABILENE,79606,TAYLOR,Licensed Center - Child Care Program,150,1/1/86,Full,N,,,,,,,,,,
61022,1,Amarillo College Child Development Lab School,6222 W 9TH AVE,,AMARILLO,79106,POTTER,Licensed Center - Child Care Program,35,2/29/96,Full,Y,,,,,,,,,,
61134,6,School for Little Children,431 ELDRIDGE RD,,SUGAR LAND,77478,FORT BEND,Licensed Center - Child Care Program,195,10/2/85,Full,Y,,,,,,,,,,
61139,6,Toddler House INC No 4,2215 W 34TH ST,,HOUSTON,77018,HARRIS,Licensed Center - Child Care Program,140,3/18/87,Full,Y,,,,,,,,,,
61343,3,Meadowbrook School,5414 W NORTHWEST HWY,,DALLAS,75220,DALLAS,Licensed Center - Child Care Program,86,3/19/87,Full,Y,,,,,,,,,,
61353,3,Christian Child Development Center,907 W MAIN ST,,LEWISVILLE,75067,DENTON,Licensed Center - Child Care Program,286,10/25/85,Full,Y,,,,,,,,,,
61536,2,Young Ages School,3701 TAFT BLVD,,WICHITA FALLS,76308,WICHITA,Licensed Center - Child Care Program,85,5/8/87,Full,Y,,,,,,,,,,
61554,8,Hope Lutheran Day Care Center,5714 CALLAGHAN RD,,SAN ANTONIO,78228,BEXAR,Licensed Center - Child Care Program,122,1/9/86,Full,Y,,,,,,,,,,
61664,7,Neal Child Development Center,1306 BARAK LN,,BRYAN,77802,BRAZOS,Licensed Center - Child Care Program,87,7/31/96,Full,Y,,,,,,,,,,
61682,3,Happy Time Day School,1813 LAYTON AVE,,FORT WORTH,76117,TARRANT,Licensed Center - Child Care Program,99,1/22/86,Full,Y,,,,,,,,,,
61795,8,Faith Lutheran Preschool,1326 E CEDAR ST,,SEGUIN,78155,GUADALUPE,Licensed Center - Child Care Program,55,8/20/92,Full,Y,,,,,,,,,,
61801,8,"FUMC Day School, Kindergarten and MDO",572 W SAN ANTONIO ST,,NEW BRAUNFELS,78130,COMAL,Licensed Center - Child Care Program,110,10/2/89,Full,Y,,,,,,,,,,
61940,8,Emanuel's Lutheran Day School,310 N TRAVIS ST,,SEGUIN,78155,GUADALUPE,Licensed Center - Child Care Program,102,2/18/94,Full,Y,,,,,,,,,,
61941,8,First United Methodist Weekday School,710 N AUSTIN ST,,SEGUIN,78155,GUADALUPE,Licensed Center - Child Care Program,125,3/1/99,Full,Y,,,,,,,,,,
61954,6,Unicorn Academy Child Care Center,965 S VICTORY DR,,HOUSTON,77088,HARRIS,Licensed Center - Child Care Program,74,3/11/86,Full,N,Closed,,,,,,,,,
61981,3,Betty Lin Early Childhood Learning Ctr,1123 E LEDBETTER DR,,DALLAS,75216,DALLAS,Licensed Center - Child Care Program,140,10/28/85,Full,Y,,,,,,,,,,
61987,3,Christian Childhood Development Center,9015 PLANO RD,,DALLAS,75238,DALLAS,Licensed Center - Child Care Program,134,3/5/86,Full,Y,,,,,,,,,,
62448,6,Beehive Parent Child Center,3756 UNIVERSITY BLVD,,HOUSTON,77005,HARRIS,Licensed Center - Child Care Program,40,11/22/85,Full,Y,,,,,,,,,,
62827,3,Rosemary Martin,209 S JACKSON ST,,WOLFE CITY,75496,HUNT,Licensed Child-Care Home,12,5/28/87,Full,Y,,,,,,,,,,
62855,7,KinderCare Learning Center,610 EMERALD WOOD DR,,AUSTIN,78745,TRAVIS,Licensed Center - Child Care Program,105,11/27/85,Full,Y,,,,,,,,,,
62999,6,Clear Lake Presbyterian ECP,1511 EL DORADO BLVD,,HOUSTON,77062,HARRIS,Licensed Center - Child Care Program,108,7/7/95,Full,Y,,,,,,,,,,
63099,3,Northway Christian Day School,7202 W NORTHWEST HWY,,DALLAS,75225,DALLAS,Licensed Center - Child Care Program,157,4/20/99,Full,Y,,,,,,,,,,
63170,4,Wake Village Playskool,837 REDWATER RD,,WAKE VILLAGE,75501,BOWIE,Licensed Center - Child Care Program,99,7/31/98,Full,Y,,,,,,,,,,
63205,3,Fort Worth Museum Preschool,1600 GENDY ST,,FORT WORTH,76107,TARRANT,Licensed Center - Child Care Program,105,4/22/86,Full,Y,,N,,,,,,Y,,
63207,8,YWCA Olga H. Madrid Center,503 CASTROVILLE RD,,SAN ANTONIO,78237,BEXAR,Licensed Center - Child Care Program,145,4/11/86,Full,Y,,,,,,,,,,
63361,6,Northwoods Presbyterian Church,3320 F M 1960 W,,HOUSTON,77068,HARRIS,Licensed Center - Child Care Program,100,1/31/88,Full,Y,,,,,,,,,,
63427,6,Holy Trinity Methodist Daycare,13207 ORLEANS ST,,HOUSTON,77015,HARRIS,Licensed Center - Child Care Program,203,2/6/86,Full,Y,,,,,,,,,,
63481-747,6,Beamer Road KinderCare,12002 BEAMER RD,,HOUSTON,77089,HARRIS,Licensed Center - Child Care Program,100,7/9/86,Full,Y,,,,,,,,,,
63541,6,Little Peoples School,5601 5TH ST,,KATY,77493,HARRIS,Licensed Center - Child Care Program,114,4/8/86,Full,Y,,,,,,,,,,
63688,1,First Steps,1208 S TYLER ST,,AMARILLO,79101,POTTER,Licensed Center - Child Care Program,100,1/6/86,Full,Y,,,,,,,,,,
63732,4,School For Little Children,400 N FREDONIA ST,,LONGVIEW,75601,GREGG,Licensed Center - Child Care Program,215,3/4/91,Full,Y,,,,,,,,,,
63812,6,Montessori Childrens Cottage,4009 SHERWOOD LN,,HOUSTON,77092,HARRIS,Licensed Center - Child Care Program,85,11/22/87,Full,Y,,,,,,,,,,
63895,6,West University United Methodist School,3611 UNIVERSITY BLVD,,HOUSTON,77005,HARRIS,Licensed Center - Child Care Program,225,7/7/87,Full,Y,,,,,,,,,,
63935,3,First Baptist Wee School,105 E WILLINGHAM ST,,CLEBURNE,76031,JOHNSON,Licensed Center - Child Care Program,90,5/3/89,Full,Y,,,,,,,,,,
64061,4,Romper Room,619 W COKE RD,,WINNSBORO,75494,WOOD,Licensed Center - Child Care Program,42,12/11/85,Full,Y,,,,,,,,,,
64072,6,Moody Methodist Day School,2803 53RD ST,,GALVESTON,77551,GALVESTON,Licensed Center - Child Care Program,300,11/18/85,Full,Y,,,,,,,,,,
64241,9,Hillander School,1600 W WADLEY AVE,,MIDLAND,79705,MIDLAND,Licensed Center - Child Care Program,82,6/3/86,Full,Y,,,,,,,,,,
64267,2,St Paul Lutheran School,4405 HOSPITAL DR,,VERNON,76384,WILBARGER,Licensed Center - Child Care Program,80,3/14/88,Full,Y,,,,,,,,,,
64373,2,FUMC Weekday Preschool,2500 11TH ST,,BROWNWOOD,76801,BROWN,Licensed Center - Child Care Program,91,5/3/99,Full,Y,,,,,,,,,,
64413,3,Red Apple School - Peace Lutheran,941 W BEDFORD EULESS RD,,HURST,76053,TARRANT,Licensed Center - Child Care Program,110,9/9/90,Full,Y,,,,,,,,,,
64529,8,Hondo First Baptist Church,2400 AVENUE P,,HONDO,78861,MEDINA,Licensed Center - Child Care Program,49,12/10/85,Full,Y,,,,,,,,,,
64733,3,Harvest Child Enrichment Center,7501 CROWLEY RD,,FORT WORTH,76134,TARRANT,Licensed Center - Child Care Program,130,5/4/00,Full,Y,,,,,,,,,,
64741,7,Grace Lutheran Preschool (KNS),828 FIR LN,,LOCKHART,78644,CALDWELL,Licensed Center - Child Care Program,55,1/9/86,Full,N,,,,Y,,,,,,
64863,4,Central Presbyterian Day School,309 S CHURCH ST,,PARIS,75460,LAMAR,Licensed Center - Child Care Program,60,10/29/85,Full,Y,,,,,,,,,,
64935,7,Redeemer Lutheran Child Development Ctr,1500 W ANDERSON LN,,AUSTIN,78757,TRAVIS,Licensed Center - Child Care Program,238,12/31/86,Full,Y,,,,,,,,,,
64955,8,Christ Lutheran Day School,6720 BROADWAY ST,,SAN ANTONIO,78209,BEXAR,Licensed Center - Child Care Program,103,3/21/86,Full,Y,,,,,,,,,,
64980,2,Kinder Care Number 213,2309 S WILLIS ST,,ABILENE,79605,TAYLOR,Licensed Center - Child Care Program,100,6/3/86,Full,Y,,,,,,,,,,
64981,1,PALS at Paramount,3801 S WESTERN ST,,AMARILLO,79109,RANDALL,Licensed Center - Child Care Program,92,6/13/86,Full,Y,,,,,,,,,,
65132,6,Alvin Community College Child Development Laboratory School,3110 MUSTANG RD,,ALVIN,77511,BRAZORIA,Licensed Center - Child Care Program,80,3/27/86,Full,Y,,,,,,,,,,
65283,7,St. Georges Episcopal School,4301 N IH 35,,AUSTIN,78722,TRAVIS,Licensed Center - Child Care Program,109,5/23/86,Full,Y,,,,,,,,,,
65289,11,Great Beginnings Preschool and Child Development Center,602 MORGAN BLVD,,HARLINGEN,78550,CAMERON,Licensed Center - Child Care Program,159,2/26/86,Full,Y,,,,,,,,,,
65510,8,Christian School of Castle Hills Preschool,2216 NW MILITARY HWY,,SAN ANTONIO,78213,BEXAR,Licensed Center - Child Care Program,323,4/18/86,Full,Y,,,,,,,,,,
65514,6,Bethany Methodist Weekday School,3507 LINKWOOD DR,,HOUSTON,77025,HARRIS,Licensed Center - Child Care Program,154,7/10/86,Full,Y,,,,,,,,,,
65567,3,Northpark Presbyterian Day School,9555 N CENTRAL EXPY,,DALLAS,75231,DALLAS,Licensed Center - Child Care Program,167,5/5/92,Full,Y,,,,,,,,,,
65625,8,Jewish Community Center Child Care,12500 NW MILITARY HWY,,SAN ANTONIO,78231,BEXAR,Licensed Center - Child Care Program,325,8/13/99,Full,Y,,,,,,,,,,
65630,8,St. David's Episcopal School,1300 WILTSHIRE AVE,,SAN ANTONIO,78209,BEXAR,Licensed Center - Child Care Program,84,11/17/86,Full,Y,,,,,,,,,,
65635,8,Zion Lutheran Church Children's Center,600 BARNETT ST,,KERRVILLE,78028,KERR,Licensed Center - Child Care Program,96,3/26/87,Full,Y,,,,,,,,,,
65636,5,Head Start Day Care Center,1902 OLD TYLER RD,,NACOGDOCHES,75964,NACOGDOCHES,Licensed Center - Child Care Program,250,9/3/86,Full,Y,,,,,,,,,,
65732,2,Little Hands,316 E 4TH ST,,BURKBURNETT,76354,WICHITA,Licensed Center - Child Care Program,30,4/12/87,Full,Y,,,,,,,,,,
65794,6,Bright Beginners Preschool and Infant Care,14225 HARGRAVE RD,,HOUSTON,77070,HARRIS,Licensed Center - Child Care Program,239,12/29/86,Full,Y,,,,,,,,,,
65805,9,Odessa College Childrens Center,201 W UNIVERSITY BLVD,,ODESSA,79764,ECTOR,Licensed Center - Child Care Program,125,9/19/86,Full,Y,,,,,,,,,,
66167-5531,10,YWCA Mabee Early Learning Academy,10712 SAM SNEAD DR,,EL PASO,79935,EL PASO,Licensed Center - Child Care Program,170,9/22/86,Full,Y,,,,,,,,,,
66304,6,Fair Haven Day School,1330 GESSNER RD,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,141,2/2/88,Full,Y,,,,,,,,,,
66360,1,ST Stephens United Methodist PR,4600 S WESTERN ST,,AMARILLO,79109,RANDALL,Licensed Center - Child Care Program,183,2/20/87,Full,Y,,,,,,,,,,
66532,6,Timber Forest KinderCare,19151 TIMBER FOREST DR,,HUMBLE,77346,HARRIS,Licensed Center - Child Care Program,145,6/12/87,Full,Y,,,,,,,,,,
100625,4,Allene Norris Cagle,221 N KENWOOD RD,,TEXARKANA,75501,BOWIE,Registered Child-Care Home,12,2/26/87,Full,Y,,,,,,,,,,
111628,7,Barbara Palasota,3405 OAK HILL DR,,BRYAN,77802,BRAZOS,Registered Child-Care Home,12,2/13/87,Full,Y,,,,,,,,,,
111747,7,First Presbyterian Childrens Center,1100 CARTER CREEK PKWY,,BRYAN,77802,BRAZOS,Licensed Center - Child Care Program,82,6/5/87,Full,Y,,,,,,,,,,
111750,7,Hideout Christian Learning Center,1202 WATER ST,,BASTROP,78602,BASTROP,Licensed Center - Child Care Program,128,6/27/87,Full,Y,,,,,,,,,,
112205,7,Berkeley Methodist Child Care Center,2407 BERKELEY AVE,,AUSTIN,78745,TRAVIS,Licensed Center - Child Care Program,75,11/25/85,Full,Y,,,,,,,,,,
112236,7,ST Matthews Episcopal School,8134 MESA DR,,AUSTIN,78759,TRAVIS,Licensed Center - Child Care Program,182,5/8/90,Full,Y,,,,,,,,,,
112640,3,Lewisville Christian School,102 N GARDEN RIDGE BLVD,,LEWISVILLE,75067,DENTON,Licensed Center - Child Care Program,144,5/14/86,Full,Y,,,,,,,,,,
112708,7,First United Methodist Preschool,1201 LAVACA ST,,AUSTIN,78701,TRAVIS,Licensed Center - Child Care Program,85,8/2/01,Full,Y,,,,,,,,,,
112755-1346,3,Little Tyke - Crowley,120 HARRIS DR,,CROWLEY,76036,TARRANT,Licensed Center - Child Care Program,109,11/16/87,Full,Y,,,,,,,,,,
112926,3,Kiddie Korner Private School,328 W 12TH ST,,DALLAS,75208,DALLAS,Licensed Center - Child Care Program,157,11/6/85,Full,Y,,,,,,,,,,
112978,8,St. John Lutheran Parochial Day Care,606 S CTR,,MARION,78124,GUADALUPE,Licensed Center - Child Care Program,169,4/23/86,Full,Y,,,,,,,,,,
113115-684,3,La Petite Academy-Forest Hill,7300 FOREST HILL DR,,FOREST HILL,76140,TARRANT,Licensed Center - Child Care Program,120,6/14/87,Full,Y,,,,,,,,,,
113129,3,Shanee Copeland,1913 DUNNING ST,,IRVING,75061,DALLAS,Registered Child-Care Home,12,3/10/87,Full,Y,,,,,,,,,,
113160,7,First Baptist Church Preschool,402 S KEY AVE,,LAMPASAS,76550,LAMPASAS,Licensed Center - Child Care Program,85,10/21/86,Full,Y,,,,,,,,,,
113810,8,University Presbyterian Children,300 BUSHNELL AVE,,SAN ANTONIO,78212,BEXAR,Licensed Center - Child Care Program,124,2/17/87,Full,Y,,,,,,,,,,
114391,7,Judy  Jeske,2933 FM 437,,ROGERS,76569,BELL,Registered Child-Care Home,12,3/12/87,Full,Y,,,,,,,,,,
114556,9,Westside Community DCC,2300 SIMLER BIG SPRING IND PAR,BLDG 449,BIG SPRING,79720,HOWARD,Licensed Center - Child Care Program,85,2/5/87,Full,Y,,,,,,,,,,
114618,3,Bethesda CDC,4700 N BEACH ST,,HALTOM CITY,76137,TARRANT,Licensed Center - Child Care Program,289,1/20/87,Full,Y,,,,,,,,,,
114626,3,Presbyterian Preschool and Kindergarten,1510 W WESTHILL DR,,CLEBURNE,76033,JOHNSON,Licensed Center - Child Care Program,59,1/21/87,Full,Y,,,,,,,,,,
115331,6,First Baptist CDC Wharton,507 N FULTON ST,,WHARTON,77488,WHARTON,Licensed Center - Child Care Program,196,5/19/86,Full,Y,,,,,,,,,,
116060,8,Luv-n-Care No 2,6509 GRISSOM RD,,SAN ANTONIO,78238,BEXAR,Licensed Center - Child Care Program,232,6/2/87,Full,Y,,,,,,,,,,
116330,3,First Baptist  PreKindergarten,1001 N CENTRAL EXPY,,RICHARDSON,75080,DALLAS,Licensed Center - Child Care Program,125,4/5/97,Full,N,,,,,,,,,,
116331,3,Wesley Prep,9200 INWOOD RD,,DALLAS,75220,DALLAS,Licensed Center - Child Care Program,55,3/4/99,Full,Y,,,,,,,,,,
116453,7,Columbus Avenue Baptist Church,1300 COLUMBUS AVE,,WACO,76701,MCLENNAN,Licensed Center - Child Care Program,189,11/5/85,Full,Y,,,,,,,,,,
116454,7,Elgin Head Start,1002B N AVENUE C,,ELGIN,78621,BASTROP,Licensed Center - Child Care Program,61,8/31/98,Full,Y,,,,,,,,,,
116542,7,Tracys Group Care,198 HOLLAWAY AVE,,LA GRANGE,78945,FAYETTE,Licensed Child-Care Home,12,7/12/96,Full,Y,,,,,,,,,,
116616,8,St. Andrew's United Methodist Weekday School,722 ROBINHOOD PL,,SAN ANTONIO,78209,BEXAR,Licensed Center - Child Care Program,150,12/4/86,Full,Y,,,,,,,,,,
116747,9,Ann Hornbuckle,3604 N MUSKINGUM AVE,,ODESSA,79762,ECTOR,Registered Child-Care Home,12,3/1/87,Full,Y,,,,,,,,,,
116867,3,First Presbyterian Church Day School,1000 PENN ST,,FORT WORTH,76102,TARRANT,Licensed Center - Child Care Program,157,3/25/98,Full,Y,,,,,,,,,,
116927,7,Manchaca Methodist Child Development Center,1011 F M 1626,,MANCHACA,78652,TRAVIS,Licensed Center - Child Care Program,140,3/31/87,Full,Y,,,,,,,,,,
117074,6,St. Christophers Day School,1656 BLALOCK RD,,HOUSTON,77080,HARRIS,Licensed Center - Child Care Program,100,4/13/90,Full,Y,,,,,,,,,,
117172-747,3,South Hulen KinderCare,7224 KINGSWOOD DR,,FORT WORTH,76133,TARRANT,Licensed Center - Child Care Program,100,2/11/87,Full,Y,,,,,,,,,,
117173-684,3,La Petite Academy at Euless,1315 N MAIN ST,,EULESS,76039,TARRANT,Licensed Center - Child Care Program,110,5/22/87,Full,Y,,,,,,,,,,
